,Code,Area_name,GLA_Population_Estimate_2017,Unemployment_rate_(2015),Modelled_Household_median_income_estimates_2012/13
0,E09000001,City of London,8800,,63620.0
1,E09000002,Barking and Dagenham,209000,11.0,29420.0
2,E09000003,Barnet,389600,8.5,40530.0
3,E09000004,Bexley,244300,7.6,36990.0
4,E09000005,Brent,332100,7.5,32140.0
5,E09000006,Bromley,327900,5.3,43060.0
6,E09000007,Camden,242500,4.0,43750.0
7,E09000008,Croydon,386500,4.1,37000.0
8,E09000009,Ealing,351600,5.8,36070.0
9,E09000010,Enfield,333000,3.8,33110.0
10,E09000011,Greenwich,280100,8.1,35350.0
11,E09000012,Hackney,274300,5.9,35140.0
12,E09000013,Hammersmith and Fulham,185300,4.7,43820.0
13,E09000014,Haringey,278000,5.7,35420.0
14,E09000015,Harrow,252300,4.6,38880.0
15,E09000016,Havering,254300,5.3,36670.0
16,E09000017,Hillingdon,301000,5.8,37040.0
17,E09000018,Hounslow,274200,4.3,35330.0
18,E09000019,Islington,231200,4.5,39790.0
19,E09000020,Kensington and Chelsea,159000,4.2,55620.0
20,E09000021,Kingston upon Thames,175400,4.5,43940.0
21,E09000022,Lambeth,328900,5.9,38490.0
22,E09000023,Lewisham,303400,5.7,35900.0
23,E09000024,Merton,208100,4.6,41960.0
24,E09000025,Newham,342900,9.1,28780.0
25,E09000026,Redbridge,304200,7.9,36860.0
26,E09000027,Richmond upon Thames,197300,3.8,53470.0
27,E09000028,Southwark,314300,7.7,37100.0
28,E09000029,Sutton,202600,5.5,39940.0
29,E09000030,Tower Hamlets,304000,9.2,34930.0
30,E09000031,Waltham Forest,276200,5.4,33080.0
31,E09000032,Wandsworth,321000,5.7,47480.0
32,E09000033,Westminster,242100,8.8,47510.0
33,E13000001,Inner London,3535700,6.4,40290.0
34,E13000002,Outer London,5299800,5.9,38360.0
35,E12000007,London,8835500,6.1,39110.0
36,E92000001,England,55609600,5.1,39610.0
37,K02000001,United Kingdom,65999100,5.3,30600.0
